"GAUL_CODE","year","hiv_test","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","HASC_2","CCN_2","CCA_2","TYPE_2","ENGTYPE_2","NL_NAME_2","VARNAME_2","shapefile","OBJECTID","ID_3","NAME_3","CCN_3","CCA_3","TYPE_3","ENGTYPE_3","NL_NAME_3","VARNAME_3","Shape_Leng","Shape_Area","NAME","COUNTRY_ID","ADMN_LEVEL","PARENT_ID","Area"
"1",2014,0.220529491914045,"211","ZAF","South Africa","1","Eastern Cape","1","Alfred Nzo","ZA.EC.AN","0","DC44","District Municipality","District Municipality",NA,NA,"ZAF_adm2_GADM_2008",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1",2015,0.212746300161938,"211","ZAF","South Africa","1","Eastern Cape","1","Alfred Nzo","ZA.EC.AN","0","DC44","District Municipality","District Municipality",NA,NA,"ZAF_adm2_GADM_2008",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1",2016,0.208547035387772,"211","ZAF","South Africa","1","Eastern Cape","1","Alfred Nzo","ZA.EC.AN","0","DC44","District Municipality","District Municipality",NA,NA,"ZAF_adm2_GADM_2008",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1",2017,0.217403745996474,"211","ZAF","South Africa","1","Eastern Cape","1","Alfred Nzo","ZA.EC.AN","0","DC44","District Municipality","District Municipality",NA,NA,"ZAF_adm2_GADM_2008",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1",2009,0.202114197873893,"211","ZAF","South Africa","1","Eastern Cape","1","Alfred Nzo","ZA.EC.AN","0","DC44","District Municipality","District Municipality",NA,NA,"ZAF_adm2_GADM_2008",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1",2010,0.204961527680603,"211","ZAF","South Africa","1","Eastern Cape","1","Alfred Nzo","ZA.EC.AN","0","DC44","District Municipality","District Municipality",NA,NA,"ZAF_adm2_GADM_2008",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1",2011,0.202628661227642,"211","ZAF","South Africa","1","Eastern Cape","1","Alfred Nzo","ZA.EC.AN","0","DC44","District Municipality","District Municipality",NA,NA,"ZAF_adm2_GADM_2008",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1",2012,0.205275275118885,"211","ZAF","South Africa","1","Eastern Cape","1","Alfred Nzo","ZA.EC.AN","0","DC44","District Municipality","District Municipality",NA,NA,"ZAF_adm2_GADM_2008",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1",2013,0.210436108237463,"211","ZAF","South Africa","1","Eastern Cape","1","Alfred Nzo","ZA.EC.AN","0","DC44","District Municipality","District Municipality",NA,NA,"ZAF_adm2_GADM_2008",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1",2000,0.144760449829741,"211","ZAF","South Africa","1","Eastern Cape","1","Alfred Nzo","ZA.EC.AN","0","DC44","District Municipality","District Municipality",NA,NA,"ZAF_adm2_GADM_2008",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
