"clinic","year_id","used","mean","n","type","agegr","age","agspan","ihme_loc_id","lbd_areal","lbd_missing","iso3","site_pred","adm0_mean","adm0_lower","adm0_upper","adm1_mean","adm1_lower","adm1_upper","iso3_adm1","loc_id_adm1"
"CMI Cabinda - Cabinda",1992,TRUE,0.068,498,"ancss","15-49","15","35","AGO",0,0,"AGO",NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMI Cabinda - Cabinda",1993,TRUE,0.072,498,"ancss","15-49","15","35","AGO",0,0,"AGO",NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMI Cabinda - Cabinda",1996,TRUE,0.085,498,"ancss","15-49","15","35","AGO",0,0,"AGO",NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMI Cabinda - Cabinda",1997,TRUE,0.08,498,"ancss","15-49","15","35","AGO",0,0,"AGO",NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMI Cabinda - Cabinda",1994,TRUE,0.072,498,"ancss","15-49","15","35","AGO",0,0,"AGO",NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMI Cabinda - Cabinda",1995,TRUE,0.055,498,"ancss","15-49","15","35","AGO",0,0,"AGO",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mat. Lucrecia Paim -Luanda",1986,TRUE,0.003,498,"ancss","15-49","15","35","AGO",0,0,"AGO",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mat. Lucrecia Paim -Luanda",1992,TRUE,0.007,498,"ancss","15-49","15","35","AGO",0,0,"AGO",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mat. Lucrecia Paim -Luanda",1995,TRUE,0.012,498,"ancss","15-49","15","35","AGO",0,0,"AGO",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mat. Lucrecia Paim -Luanda",1999,TRUE,0.034,498,"ancss","15-49","15","35","AGO",0,0,"AGO",NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMI Benguela - Benguela",2001,TRUE,0.026,498,"ancss","15-49","15","35","AGO",0,0,"AGO",0.0190104749053717,0.0245106767675852,0.0186150236395554,0.0318578183277112,NA,NA,NA,NA,NA
"Mat do Lubango - Huila",2001,TRUE,0.044,498,"ancss","15-49","15","35","AGO",0,0,"AGO",0.023502791300416,0.0245106767675852,0.0186150236395554,0.0318578183277112,NA,NA,NA,NA,NA
