"clinic","year_id","used","n","type","agegr","age","agspan","site_pred","adm0_mean","adm0_lower","adm0_upper","ihme_loc_id","lbd_areal","lbd_missing","iso3","adm1_mean","adm1_lower","adm1_upper","iso3_adm1","loc_id_adm1"
"Centre Hospitalier",1990,TRUE,300,"ancss","15-49","15","35",NA,NA,NA,NA,"GAB",0,0,"GAB",NA,NA,NA,NA,NA
"Estuaire Province",1993,TRUE,300,"ancss","15-49","15","35",NA,NA,NA,NA,"GAB",0,0,"GAB",NA,NA,NA,NA,NA
"Four cities",1997,TRUE,300,"ancss","15-49","15","35",NA,NA,NA,NA,"GAB",0,0,"GAB",NA,NA,NA,NA,NA
"Franceville",1986,TRUE,300,"ancss","15-49","15","35",NA,NA,NA,NA,"GAB",0,0,"GAB",NA,NA,NA,NA,NA
"Franceville",1987,TRUE,300,"ancss","15-49","15","35",NA,NA,NA,NA,"GAB",0,0,"GAB",NA,NA,NA,NA,NA
"Libreville (2)",1988,TRUE,300,"ancss","15-49","15","35",NA,NA,NA,NA,"GAB",0,0,"GAB",NA,NA,NA,NA,NA
"Libreville 1",1988,TRUE,300,"ancss","15-49","15","35",NA,NA,NA,NA,"GAB",0,0,"GAB",NA,NA,NA,NA,NA
"Libreville 1",1991,TRUE,300,"ancss","15-49","15","35",NA,NA,NA,NA,"GAB",0,0,"GAB",NA,NA,NA,NA,NA
"Libreville 1",1993,TRUE,300,"ancss","15-49","15","35",NA,NA,NA,NA,"GAB",0,0,"GAB",NA,NA,NA,NA,NA
"Libreville 1",1994,TRUE,300,"ancss","15-49","15","35",NA,NA,NA,NA,"GAB",0,0,"GAB",NA,NA,NA,NA,NA
"SMI CS Glass 015",1995,TRUE,300,"ancss","15-49","15","35",NA,NA,NA,NA,"GAB",0,0,"GAB",NA,NA,NA,NA,NA
"SMI CS Louis 011",1995,TRUE,300,"ancss","15-49","15","35",NA,NA,NA,NA,"GAB",0,0,"GAB",NA,NA,NA,NA,NA
"SMI CS Peyrie 012",1995,TRUE,300,"ancss","15-49","15","35",NA,NA,NA,NA,"GAB",0,0,"GAB",NA,NA,NA,NA,NA
"Southeastern area",1988,TRUE,300,"ancss","15-49","15","35",NA,NA,NA,NA,"GAB",0,0,"GAB",NA,NA,NA,NA,NA
"Libreville 1",2000,TRUE,300,"ancss","15-49","15","35",0,0,0,0,"GAB",0,0,"GAB",NA,NA,NA,NA,NA
"Franceville",2001,TRUE,300,"ancss","15-49","15","35",0,0,0,0,"GAB",0,0,"GAB",NA,NA,NA,NA,NA
"Lambarene",2001,TRUE,300,"ancss","15-49","15","35",0,0,0,0,"GAB",0,0,"GAB",NA,NA,NA,NA,NA
"SMI CS Glass 015",2001,TRUE,300,"ancss","15-49","15","35",0,0,0,0,"GAB",0,0,"GAB",NA,NA,NA,NA,NA
"SMI CS Louis 011",2001,TRUE,300,"ancss","15-49","15","35",0,0,0,0,"GAB",0,0,"GAB",NA,NA,NA,NA,NA
"SMI CS Peyrie 012",2001,TRUE,300,"ancss","15-49","15","35",0,0,0,0,"GAB",0,0,"GAB",NA,NA,NA,NA,NA
"SMI CS Glass 015",2002,TRUE,300,"ancss","15-49","15","35",0,0,0,0,"GAB",0,0,"GAB",NA,NA,NA,NA,NA
"SMI CS Louis 011",2002,TRUE,300,"ancss","15-49","15","35",0,0,0,0,"GAB",0,0,"GAB",NA,NA,NA,NA,NA
"SMI CS Peyrie 012",2002,TRUE,300,"ancss","15-49","15","35",0,0,0,0,"GAB",0,0,"GAB",NA,NA,NA,NA,NA
"Franceville",2003,TRUE,300,"ancss","15-49","15","35",0,0,0,0,"GAB",0,0,"GAB",NA,NA,NA,NA,NA
"Libreville 1",2003,TRUE,300,"ancss","15-49","15","35",0,0,0,0,"GAB",0,0,"GAB",NA,NA,NA,NA,NA
"Makokou",2003,TRUE,300,"ancss","15-49","15","35",0,0,0,0,"GAB",0,0,"GAB",NA,NA,NA,NA,NA
"SMI CS Glass 015",2003,TRUE,300,"ancss","15-49","15","35",0,0,0,0,"GAB",0,0,"GAB",NA,NA,NA,NA,NA
