"clinic","year_id","used","n","type","agegr","age","agspan","site_pred","adm0_mean","adm0_lower","adm0_upper","ihme_loc_id","lbd_areal","lbd_missing","iso3","adm1_mean","adm1_lower","adm1_upper","iso3_adm1","loc_id_adm1"
"Adabraka",1995,TRUE,386,"ancss","15-49","15","35",NA,NA,NA,NA,"GHA",0,0,"GHA",NA,NA,NA,NA,NA
"Adabraka",1996,TRUE,185,"ancss","15-49","15","35",NA,NA,NA,NA,"GHA",0,0,"GHA",NA,NA,NA,NA,NA
"Adabraka",1997,TRUE,300,"ancss","15-49","15","35",NA,NA,NA,NA,"GHA",0,0,"GHA",NA,NA,NA,NA,NA
"Adabraka",1998,TRUE,385,"ancss","15-49","15","35",NA,NA,NA,NA,"GHA",0,0,"GHA",NA,NA,NA,NA,NA
"Adabraka",1999,TRUE,501,"ancss","15-49","15","35",NA,NA,NA,NA,"GHA",0,0,"GHA",NA,NA,NA,NA,NA
"Adabraka",1990,TRUE,300,"ancss","15-49","15","35",NA,NA,NA,NA,"GHA",0,0,"GHA",NA,NA,NA,NA,NA
"Adabraka",1992,TRUE,300,"ancss","15-49","15","35",NA,NA,NA,NA,"GHA",0,0,"GHA",NA,NA,NA,NA,NA
"Agormanya",1997,TRUE,500,"ancss","15-49","15","35",NA,NA,NA,NA,"GHA",0,0,"GHA",NA,NA,NA,NA,NA
"Agormanya",1998,TRUE,500,"ancss","15-49","15","35",NA,NA,NA,NA,"GHA",0,0,"GHA",NA,NA,NA,NA,NA
"Agormanya",1999,TRUE,500,"ancss","15-49","15","35",NA,NA,NA,NA,"GHA",0,0,"GHA",NA,NA,NA,NA,NA
"Agormanya",1994,TRUE,500,"ancss","15-49","15","35",NA,NA,NA,NA,"GHA",0,0,"GHA",NA,NA,NA,NA,NA
"Agormanya",1995,TRUE,353,"ancss","15-49","15","35",NA,NA,NA,NA,"GHA",0,0,"GHA",NA,NA,NA,NA,NA
"Agormanya",1996,TRUE,500,"ancss","15-49","15","35",NA,NA,NA,NA,"GHA",0,0,"GHA",NA,NA,NA,NA,NA
"Agormanya",1992,TRUE,412,"ancss","15-49","15","35",NA,NA,NA,NA,"GHA",0,0,"GHA",NA,NA,NA,NA,NA
"Amasaman",1999,TRUE,460,"ancss","15-49","15","35",NA,NA,NA,NA,"GHA",0,0,"GHA",NA,NA,NA,NA,NA
"Assin Fosu",1994,TRUE,605,"ancss","15-49","15","35",NA,NA,NA,NA,"GHA",0,0,"GHA",NA,NA,NA,NA,NA
"Assin Fosu",1995,TRUE,500,"ancss","15-49","15","35",NA,NA,NA,NA,"GHA",0,0,"GHA",NA,NA,NA,NA,NA
"Assin Fosu",1996,TRUE,500,"ancss","15-49","15","35",NA,NA,NA,NA,"GHA",0,0,"GHA",NA,NA,NA,NA,NA
"Assin Fosu",1997,TRUE,500,"ancss","15-49","15","35",NA,NA,NA,NA,"GHA",0,0,"GHA",NA,NA,NA,NA,NA
"Assin Fosu",1998,TRUE,50,"ancss","15-49","15","35",NA,NA,NA,NA,"GHA",0,0,"GHA",NA,NA,NA,NA,NA
"Assin Fosu",1999,TRUE,500,"ancss","15-49","15","35",NA,NA,NA,NA,"GHA",0,0,"GHA",NA,NA,NA,NA,NA
"Bawku",1999,TRUE,499,"ancss","15-49","15","35",NA,NA,NA,NA,"GHA",0,0,"GHA",NA,NA,NA,NA,NA
