"clinic","year_id","used","n","type","agegr","age","agspan","site_pred","adm0_mean","adm0_lower","adm0_upper","ihme_loc_id","lbd_areal","lbd_missing","iso3","adm1_mean","adm1_lower","adm1_upper","iso3_adm1","loc_id_adm1"
"Basse",1995,TRUE,4445,"ancss","15-49","15","35",NA,NA,NA,NA,"GMB",0,0,"GMB",NA,NA,NA,NA,NA
"Brikama",1995,TRUE,2683,"ancss","15-49","15","35",NA,NA,NA,NA,"GMB",0,0,"GMB",NA,NA,NA,NA,NA
"Farafenni",1995,TRUE,3441,"ancss","15-49","15","35",NA,NA,NA,NA,"GMB",0,0,"GMB",NA,NA,NA,NA,NA
"Serekunda",1995,TRUE,5498,"ancss","15-49","15","35",NA,NA,NA,NA,"GMB",0,0,"GMB",NA,NA,NA,NA,NA
"Sibanor",1995,TRUE,3230,"ancss","15-49","15","35",NA,NA,NA,NA,"GMB",0,0,"GMB",NA,NA,NA,NA,NA
"Basse",2001,TRUE,1699,"ancss","15-49","15","35",0,0,0,0,"GMB",0,0,"GMB",NA,NA,NA,NA,NA
"Farafenni",2001,TRUE,1730,"ancss","15-49","15","35",0,0,0,0,"GMB",0,0,"GMB",NA,NA,NA,NA,NA
"Serekunda",2001,TRUE,2998,"ancss","15-49","15","35",0,0,0,0,"GMB",0,0,"GMB",NA,NA,NA,NA,NA
"Sibanor",2001,TRUE,1627,"ancss","15-49","15","35",0,0,0,0,"GMB",0,0,"GMB",NA,NA,NA,NA,NA
"Basse",2002,TRUE,312,"ancss","15-49","15","35",0,0,0,0,"GMB",0,0,"GMB",NA,NA,NA,NA,NA
"Brikama",2002,TRUE,500,"ancss","15-49","15","35",0,0,0,0,"GMB",0,0,"GMB",NA,NA,NA,NA,NA
"Farafenni",2002,TRUE,346,"ancss","15-49","15","35",0,0,0,0,"GMB",0,0,"GMB",NA,NA,NA,NA,NA
"Kuntaur",2002,TRUE,159,"ancss","15-49","15","35",0,0,0,0,"GMB",0,0,"GMB",NA,NA,NA,NA,NA
"Serekunda",2002,TRUE,500,"ancss","15-49","15","35",0,0,0,0,"GMB",0,0,"GMB",NA,NA,NA,NA,NA
"Sibanor",2002,TRUE,500,"ancss","15-49","15","35",0,0,0,0,"GMB",0,0,"GMB",NA,NA,NA,NA,NA
"Basse",2003,TRUE,504,"ancss","15-49","15","35",0,0,0,0,"GMB",0,0,"GMB",NA,NA,NA,NA,NA
