"clinic","year_id","used","n","type","agegr","age","agspan","site_pred","adm0_mean","adm0_lower","adm0_upper","ihme_loc_id","lbd_areal","lbd_missing","iso3","adm1_mean","adm1_lower","adm1_upper","iso3_adm1","loc_id_adm1"
"Chulaimbo",1996,TRUE,162,"ancss","15-49","15","35",NA,NA,NA,NA,"KEN_35633",0,0,"KEN_35633",NA,NA,NA,NA,NA
"Chulaimbo",1998,TRUE,451,"ancss","15-49","15","35",NA,NA,NA,NA,"KEN_35633",0,0,"KEN_35633",NA,NA,NA,NA,NA
"Chulaimbo",1995,TRUE,202,"ancss","15-49","15","35",NA,NA,NA,NA,"KEN_35633",0,0,"KEN_35633",NA,NA,NA,NA,NA
"Chulaimbo",1999,TRUE,300,"ancss","15-49","15","35",NA,NA,NA,NA,"KEN_35633",0,0,"KEN_35633",NA,NA,NA,NA,NA
"Kisumu",1999,TRUE,1018,"ancss","15-49","15","35",NA,NA,NA,NA,"KEN_35633",0,0,"KEN_35633",NA,NA,NA,NA,NA
"Kisumu",1993,TRUE,199,"ancss","15-49","15","35",NA,NA,NA,NA,"KEN_35633",0,0,"KEN_35633",NA,NA,NA,NA,NA
"Kisumu",1991,TRUE,875,"ancss","15-49","15","35",NA,NA,NA,NA,"KEN_35633",0,0,"KEN_35633",NA,NA,NA,NA,NA
"Kisumu",1998,TRUE,1005,"ancss","15-49","15","35",NA,NA,NA,NA,"KEN_35633",0,0,"KEN_35633",NA,NA,NA,NA,NA
"Kisumu",1995,TRUE,300,"ancss","15-49","15","35",NA,NA,NA,NA,"KEN_35633",0,0,"KEN_35633",NA,NA,NA,NA,NA
"Kisumu",1990,TRUE,416,"ancss","15-49","15","35",NA,NA,NA,NA,"KEN_35633",0,0,"KEN_35633",NA,NA,NA,NA,NA
"Kisumu",1996,TRUE,300,"ancss","15-49","15","35",NA,NA,NA,NA,"KEN_35633",0,0,"KEN_35633",NA,NA,NA,NA,NA
"Kisumu",1992,TRUE,150,"ancss","15-49","15","35",NA,NA,NA,NA,"KEN_35633",0,0,"KEN_35633",NA,NA,NA,NA,NA
"Kisumu",1997,TRUE,699,"ancss","15-49","15","35",NA,NA,NA,NA,"KEN_35633",0,0,"KEN_35633",NA,NA,NA,NA,NA
"Kisumu",1994,TRUE,274,"ancss","15-49","15","35",NA,NA,NA,NA,"KEN_35633",0,0,"KEN_35633",NA,NA,NA,NA,NA
"Chulaimbo",2000,TRUE,148,"ancss","15-49","15","35",0,0,0,0,"KEN_35633",0,0,"KEN_35633",NA,NA,NA,NA,NA
"Kisumu",2000,TRUE,1000,"ancss","15-49","15","35",0,0,0,0,"KEN_35633",0,0,"KEN_35633",NA,NA,NA,NA,NA
"Chulaimbo",2001,TRUE,293,"ancss","15-49","15","35",0,0,0,0,"KEN_35633",0,0,"KEN_35633",NA,NA,NA,NA,NA
"Kisumu",2001,TRUE,407,"ancss","15-49","15","35",0,0,0,0,"KEN_35633",0,0,"KEN_35633",NA,NA,NA,NA,NA
"Chulaimbo",2002,TRUE,140,"ancss","15-49","15","35",0,0,0,0,"KEN_35633",0,0,"KEN_35633",NA,NA,NA,NA,NA
"Kisumu",2002,TRUE,400,"ancss","15-49","15","35",0,0,0,0,"KEN_35633",0,0,"KEN_35633",NA,NA,NA,NA,NA
"Chulaimbo",2003,TRUE,300,"ancss","15-49","15","35",0,0,0,0,"KEN_35633",0,0,"KEN_35633",NA,NA,NA,NA,NA
"Kisumu",2003,TRUE,300,"ancss","15-49","15","35",0,0,0,0,"KEN_35633",0,0,"KEN_35633",NA,NA,NA,NA,NA
"Chulaimbo",2004,TRUE,130,"ancss","15-49","15","35",0,0,0,0,"KEN_35633",0,0,"KEN_35633",NA,NA,NA,NA,NA
"Kisumu",2004,TRUE,357,"ancss","15-49","15","35",0,0,0,0,"KEN_35633",0,0,"KEN_35633",NA,NA,NA,NA,NA
"Chulaimbo",2005,TRUE,217,"ancss","15-49","15","35",0,0,0,0,"KEN_35633",0,0,"KEN_35633",NA,NA,NA,NA,NA
"Kisumu",2005,TRUE,371,"ancss","15-49","15","35",0,0,0,0,"KEN_35633",0,0,"KEN_35633",NA,NA,NA,NA,NA
"Chulaimbo",2006,TRUE,293,"ancss","15-49","15","35",0,0,0,0,"KEN_35633",0,0,"KEN_35633",NA,NA,NA,NA,NA
"Kisumu",2006,TRUE,399,"ancss","15-49","15","35",0,0,0,0,"KEN_35633",0,0,"KEN_35633",NA,NA,NA,NA,NA
"Chulaimbo",2009,TRUE,375,"ancss","15-49","15","35",0,0,0,0,"KEN_35633",0,0,"KEN_35633",NA,NA,NA,NA,NA
"Kisumu",2009,TRUE,387,"ancss","15-49","15","35",0,0,0,0,"KEN_35633",0,0,"KEN_35633",NA,NA,NA,NA,NA
"Chulaimbo",2010,TRUE,272,"ancss","15-49","15","35",0,0,0,0,"KEN_35633",0,0,"KEN_35633",NA,NA,NA,NA,NA
"Kisumu",2010,TRUE,412,"ancss","15-49","15","35",0,0,0,0,"KEN_35633",0,0,"KEN_35633",NA,NA,NA,NA,NA
"Chulaimbo",2011,TRUE,264,"ancss","15-49","15","35",0,0,0,0,"KEN_35633",0,0,"KEN_35633",NA,NA,NA,NA,NA
"Kisumu",2011,TRUE,415,"ancss","15-49","15","35",0,0,0,0,"KEN_35633",0,0,"KEN_35633",NA,NA,NA,NA,NA
