"clinic","year_id","used","n","type","agegr","age","agspan","site_pred","adm0_mean","adm0_lower","adm0_upper","ihme_loc_id","lbd_areal","lbd_missing","iso3","adm1_mean","adm1_lower","adm1_upper","iso3_adm1","loc_id_adm1"
"Mafeteng",1994,TRUE,325,"ancss","15-49","15","35",NA,NA,NA,NA,"LSO",0,0,"LSO",NA,NA,NA,NA,NA
"Mafeteng",1991,TRUE,325,"ancss","15-49","15","35",NA,NA,NA,NA,"LSO",0,0,"LSO",NA,NA,NA,NA,NA
"Mafeteng",1992,TRUE,325,"ancss","15-49","15","35",NA,NA,NA,NA,"LSO",0,0,"LSO",NA,NA,NA,NA,NA
"Mafeteng",1993,TRUE,325,"ancss","15-49","15","35",NA,NA,NA,NA,"LSO",0,0,"LSO",NA,NA,NA,NA,NA
"Mafeteng",1996,TRUE,325,"ancss","15-49","15","35",NA,NA,NA,NA,"LSO",0,0,"LSO",NA,NA,NA,NA,NA
"Maluti",1991,TRUE,325,"ancss","15-49","15","35",NA,NA,NA,NA,"LSO",0,0,"LSO",NA,NA,NA,NA,NA
"Maluti",1994,TRUE,325,"ancss","15-49","15","35",NA,NA,NA,NA,"LSO",0,0,"LSO",NA,NA,NA,NA,NA
"Maluti",1996,TRUE,325,"ancss","15-49","15","35",NA,NA,NA,NA,"LSO",0,0,"LSO",NA,NA,NA,NA,NA
"Maluti",1992,TRUE,325,"ancss","15-49","15","35",NA,NA,NA,NA,"LSO",0,0,"LSO",NA,NA,NA,NA,NA
"Maluti",1993,TRUE,325,"ancss","15-49","15","35",NA,NA,NA,NA,"LSO",0,0,"LSO",NA,NA,NA,NA,NA
"Motebang",1996,TRUE,325,"ancss","15-49","15","35",NA,NA,NA,NA,"LSO",0,0,"LSO",NA,NA,NA,NA,NA
"Motebang",1991,TRUE,325,"ancss","15-49","15","35",NA,NA,NA,NA,"LSO",0,0,"LSO",NA,NA,NA,NA,NA
"Motebang",1992,TRUE,325,"ancss","15-49","15","35",NA,NA,NA,NA,"LSO",0,0,"LSO",NA,NA,NA,NA,NA
"Motebang",1993,TRUE,325,"ancss","15-49","15","35",NA,NA,NA,NA,"LSO",0,0,"LSO",NA,NA,NA,NA,NA
"Motebang",1994,TRUE,325,"ancss","15-49","15","35",NA,NA,NA,NA,"LSO",0,0,"LSO",NA,NA,NA,NA,NA
"Queen II",1992,TRUE,325,"ancss","15-49","15","35",NA,NA,NA,NA,"LSO",0,0,"LSO",NA,NA,NA,NA,NA
"Queen II",1993,TRUE,325,"ancss","15-49","15","35",NA,NA,NA,NA,"LSO",0,0,"LSO",NA,NA,NA,NA,NA
"Queen II",1994,TRUE,325,"ancss","15-49","15","35",NA,NA,NA,NA,"LSO",0,0,"LSO",NA,NA,NA,NA,NA
"Queen II",1991,TRUE,325,"ancss","15-49","15","35",NA,NA,NA,NA,"LSO",0,0,"LSO",NA,NA,NA,NA,NA
"Queen II",1996,TRUE,325,"ancss","15-49","15","35",NA,NA,NA,NA,"LSO",0,0,"LSO",NA,NA,NA,NA,NA
"Quthing",1991,TRUE,325,"ancss","15-49","15","35",NA,NA,NA,NA,"LSO",0,0,"LSO",NA,NA,NA,NA,NA
"Quthing",1992,TRUE,325,"ancss","15-49","15","35",NA,NA,NA,NA,"LSO",0,0,"LSO",NA,NA,NA,NA,NA
"Quthing",1993,TRUE,325,"ancss","15-49","15","35",NA,NA,NA,NA,"LSO",0,0,"LSO",NA,NA,NA,NA,NA
"Quthing",1996,TRUE,325,"ancss","15-49","15","35",NA,NA,NA,NA,"LSO",0,0,"LSO",NA,NA,NA,NA,NA
"Quthing",1994,TRUE,325,"ancss","15-49","15","35",NA,NA,NA,NA,"LSO",0,0,"LSO",NA,NA,NA,NA,NA
"Mafeteng",2000,TRUE,343,"ancss","15-49","15","35",0,0,0,0,"LSO",0,0,"LSO",NA,NA,NA,NA,NA
"Maluti",2000,TRUE,520,"ancss","15-49","15","35",0,0,0,0,"LSO",0,0,"LSO",NA,NA,NA,NA,NA
"Mokhotlong",2000,TRUE,407,"ancss","15-49","15","35",0,0,0,0,"LSO",0,0,"LSO",NA,NA,NA,NA,NA
"Motebang",2000,TRUE,461,"ancss","15-49","15","35",0,0,0,0,"LSO",0,0,"LSO",NA,NA,NA,NA,NA
"Queen II",2000,TRUE,500,"ancss","15-49","15","35",0,0,0,0,"LSO",0,0,"LSO",NA,NA,NA,NA,NA
"Quthing",2000,TRUE,400,"ancss","15-49","15","35",0,0,0,0,"LSO",0,0,"LSO",NA,NA,NA,NA,NA
"Mafeteng",2003,TRUE,400,"ancss","15-49","15","35",0,0,0,0,"LSO",0,0,"LSO",NA,NA,NA,NA,NA
"Maluti",2003,TRUE,407,"ancss","15-49","15","35",0,0,0,0,"LSO",0,0,"LSO",NA,NA,NA,NA,NA
"Mokhotlong",2003,TRUE,358,"ancss","15-49","15","35",0,0,0,0,"LSO",0,0,"LSO",NA,NA,NA,NA,NA
"Motebang",2003,TRUE,375,"ancss","15-49","15","35",0,0,0,0,"LSO",0,0,"LSO",NA,NA,NA,NA,NA
"Queen II",2003,TRUE,800,"ancss","15-49","15","35",0,0,0,0,"LSO",0,0,"LSO",NA,NA,NA,NA,NA
"Quthing",2003,TRUE,326,"ancss","15-49","15","35",0,0,0,0,"LSO",0,0,"LSO",NA,NA,NA,NA,NA
"Berea",2005,TRUE,466,"ancss","15-49","15","35",0,0,0,0,"LSO",0,0,"LSO",NA,NA,NA,NA,NA
