"clinic","year_id","used","n","type","agegr","age","agspan","site_pred","adm0_mean","adm0_lower","adm0_upper","ihme_loc_id","lbd_areal","lbd_missing","iso3","adm1_mean","adm1_lower","adm1_upper","iso3_adm1","loc_id_adm1"
"1 - Jose Macamo",1996,TRUE,600,"ancss","15-49","15","35",NA,NA,NA,NA,"MOZ",0,0,"MOZ",NA,NA,NA,NA,NA
"1 - Jose Macamo",1998,TRUE,600,"ancss","15-49","15","35",NA,NA,NA,NA,"MOZ",0,0,"MOZ",NA,NA,NA,NA,NA
"1 - Jose Macamo",1994,TRUE,600,"ancss","15-49","15","35",NA,NA,NA,NA,"MOZ",0,0,"MOZ",NA,NA,NA,NA,NA
"1 - Jose Macamo",1990,TRUE,300,"ancss","15-49","15","35",NA,NA,NA,NA,"MOZ",0,0,"MOZ",NA,NA,NA,NA,NA
"1 - Jose Macamo",1992,TRUE,300,"ancss","15-49","15","35",NA,NA,NA,NA,"MOZ",0,0,"MOZ",NA,NA,NA,NA,NA
"1 - Jose Macamo",1988,TRUE,300,"ancss","15-49","15","35",NA,NA,NA,NA,"MOZ",0,0,"MOZ",NA,NA,NA,NA,NA
"11 - Mondlane",1994,TRUE,600,"ancss","15-49","15","35",NA,NA,NA,NA,"MOZ",0,0,"MOZ",NA,NA,NA,NA,NA
"11 - Mondlane",1996,TRUE,600,"ancss","15-49","15","35",NA,NA,NA,NA,"MOZ",0,0,"MOZ",NA,NA,NA,NA,NA
"11 - Mondlane",1998,TRUE,600,"ancss","15-49","15","35",NA,NA,NA,NA,"MOZ",0,0,"MOZ",NA,NA,NA,NA,NA
"12 - No. 3",1996,TRUE,600,"ancss","15-49","15","35",NA,NA,NA,NA,"MOZ",0,0,"MOZ",NA,NA,NA,NA,NA
"12 - No. 3",1994,TRUE,600,"ancss","15-49","15","35",NA,NA,NA,NA,"MOZ",0,0,"MOZ",NA,NA,NA,NA,NA
"12 - No. 3",1998,TRUE,600,"ancss","15-49","15","35",NA,NA,NA,NA,"MOZ",0,0,"MOZ",NA,NA,NA,NA,NA
"9 - Ponta-Gea",1996,TRUE,600,"ancss","15-49","15","35",NA,NA,NA,NA,"MOZ",0,0,"MOZ",NA,NA,NA,NA,NA
"9 - Ponta-Gea",1998,TRUE,600,"ancss","15-49","15","35",NA,NA,NA,NA,"MOZ",0,0,"MOZ",NA,NA,NA,NA,NA
"Site 5",1999,TRUE,20,"ancss","15-49","15","35",NA,NA,NA,NA,"MOZ",0,0,"MOZ",NA,NA,NA,NA,NA
"1 - Jose Macamo",2000,TRUE,300,"ancss","15-49","15","35",0,0,0,0,"MOZ",0,0,"MOZ",NA,NA,NA,NA,NA
"10 - Catandica",2000,TRUE,300,"ancss","15-49","15","35",0,0,0,0,"MOZ",0,0,"MOZ",0.170757437311601,0.12895347054232,0.220123047530465,NA,NA
"11 - Mondlane",2000,TRUE,300,"ancss","15-49","15","35",0,0,0,0,"MOZ",0,0,"MOZ",0.170757437311601,0.12895347054232,0.220123047530465,NA,NA
"12 - No. 3",2000,TRUE,300,"ancss","15-49","15","35",0,0,0,0,"MOZ",0,0,"MOZ",0.123500978934138,0.0934298347503888,0.15640702667182,NA,NA
"13 - Changara",2000,TRUE,297,"ancss","15-49","15","35",0,0,0,0,"MOZ",0,0,"MOZ",0.123500978934138,0.0934298347503888,0.15640702667182,NA,NA
"14 - Mandimba",2000,TRUE,300,"ancss","15-49","15","35",0,0,0,0,"MOZ",0,0,"MOZ",0.0694231231982891,0.0500319228230036,0.0943071403659421,NA,NA
"15 - Cuamba",2000,TRUE,298,"ancss","15-49","15","35",0,0,0,0,"MOZ",0,0,"MOZ",0.0694231231982891,0.0500319228230036,0.0943071403659421,NA,NA
"16 - 25 Setembro",2000,TRUE,300,"ancss","15-49","15","35",0,0,0,0,"MOZ",0,0,"MOZ",0.0410312236631111,0.0287453982951463,0.0586795265756564,NA,NA
"17 - Nacala",2000,TRUE,300,"ancss","15-49","15","35",0,0,0,0,"MOZ",0,0,"MOZ",0.0410312236631111,0.0287453982951463,0.0586795265756564,NA,NA
"18 - Angoche",2000,TRUE,300,"ancss","15-49","15","35",0,0,0,0,"MOZ",0,0,"MOZ",0.0410312236631111,0.0287453982951463,0.0586795265756564,NA,NA
"19 - Pemba",2000,TRUE,300,"ancss","15-49","15","35",0,0,0,0,"MOZ",0,0,"MOZ",0.0689260134227822,0.0485436541282845,0.0957012911110983,NA,NA
"20 - Montepuez",2000,TRUE,300,"ancss","15-49","15","35",0,0,0,0,"MOZ",0,0,"MOZ",0.0689260134227822,0.0485436541282845,0.0957012911110983,NA,NA
"3 - Xai-Xai",2000,TRUE,300,"ancss","15-49","15","35",0,0,0,0,"MOZ",0,0,"MOZ",0.10953845535066,0.0796085628885923,0.145832675508099,NA,NA
"4 - Chokwe",2000,TRUE,299,"ancss","15-49","15","35",0,0,0,0,"MOZ",0,0,"MOZ",0.10953845535066,0.0796085628885923,0.145832675508099,NA,NA
"5 - Maxixe",2000,TRUE,300,"ancss","15-49","15","35",0,0,0,0,"MOZ",0,0,"MOZ",0.0782788152621838,0.0497647866481193,0.117451743841778,NA,NA
"6 - 24 de Julho",2000,TRUE,300,"ancss","15-49","15","35",0,0,0,0,"MOZ",0,0,"MOZ",0.0994521173929608,0.0740204641352907,0.130959198144862,NA,NA
"7 - Mocuba",2000,TRUE,300,"ancss","15-49","15","35",0,0,0,0,"MOZ",0,0,"MOZ",0.0994521173929608,0.0740204641352907,0.130959198144862,NA,NA
"8 - Milange",2000,TRUE,300,"ancss","15-49","15","35",0,0,0,0,"MOZ",0,0,"MOZ",0.0994521173929608,0.0740204641352907,0.130959198144862,NA,NA
"9 - Ponta-Gea",2000,TRUE,298,"ancss","15-49","15","35",0,0,0,0,"MOZ",0,0,"MOZ",0.138736889361821,0.0966951366906438,0.188134351646757,NA,NA
"Site 1: CS Manhica",2000,TRUE,300,"ancss","15-49","15","35",0,0,0,0,"MOZ",0,0,"MOZ",NA,NA,NA,NA,NA
"Site 5",2000,TRUE,78,"ancss","15-49","15","35",0,0,0,0,"MOZ",0,0,"MOZ",NA,NA,NA,NA,NA
"1 - Jose Macamo",2001,TRUE,300,"ancss","15-49","15","35",0,0,0,0,"MOZ",0,0,"MOZ",NA,NA,NA,NA,NA
"10 - Catandica",2001,TRUE,300,"ancss","15-49","15","35",0,0,0,0,"MOZ",0,0,"MOZ",0.164220500973194,0.128837394579487,0.205723808981364,NA,NA
"11 - Mondlane",2001,TRUE,300,"ancss","15-49","15","35",0,0,0,0,"MOZ",0,0,"MOZ",0.164220500973194,0.128837394579487,0.205723808981364,NA,NA
"12 - No. 3",2001,TRUE,299,"ancss","15-49","15","35",0,0,0,0,"MOZ",0,0,"MOZ",0.118153349217732,0.0936540237057387,0.14352983771086,NA,NA
