"clinic","year_id","used","n","type","agegr","age","agspan","site_pred","adm0_mean","adm0_lower","adm0_upper","ihme_loc_id","lbd_areal","lbd_missing","iso3","adm1_mean","adm1_lower","adm1_upper","iso3_adm1","loc_id_adm1"
"Akwa-Ibom (Essien-Udim)",1999,TRUE,300,"ancss","15-49","15","35",NA,NA,NA,NA,"NGA_25320",0,0,"NGA_25320",NA,NA,NA,NA,NA
"Akwa-Ibom (Uyo)",1999,TRUE,300,"ancss","15-49","15","35",NA,NA,NA,NA,"NGA_25320",0,0,"NGA_25320",NA,NA,NA,NA,NA
"Akwa-Ibom (Essien-Udim)",2001,TRUE,300,"ancss","15-49","15","35",0,0,0,0,"NGA_25320",0,0,"NGA_25320",NA,NA,NA,NA,NA
"Akwa-Ibom (Uyo)",2001,TRUE,300,"ancss","15-49","15","35",0,0,0,0,"NGA_25320",0,0,"NGA_25320",NA,NA,NA,NA,NA
"Akwa-Ibom (Essien-Udim)",2003,TRUE,300,"ancss","15-49","15","35",0,0,0,0,"NGA_25320",0,0,"NGA_25320",NA,NA,NA,NA,NA
"Akwa-Ibom (Ikono)",2003,TRUE,50,"ancss","15-49","15","35",0,0,0,0,"NGA_25320",0,0,"NGA_25320",NA,NA,NA,NA,NA
"Akwa-Ibom (Uyo)",2003,TRUE,299,"ancss","15-49","15","35",0,0,0,0,"NGA_25320",0,0,"NGA_25320",NA,NA,NA,NA,NA
"Akwa-Ibom  (Iquita)",2005,TRUE,150,"ancss","15-49","15","35",0,0,0,0,"NGA_25320",0,0,"NGA_25320",NA,NA,NA,NA,NA
"Akwa-Ibom (Essien-Udim)",2005,TRUE,300,"ancss","15-49","15","35",0,0,0,0,"NGA_25320",0,0,"NGA_25320",NA,NA,NA,NA,NA
"Akwa-Ibom (Ikono)",2005,TRUE,150,"ancss","15-49","15","35",0,0,0,0,"NGA_25320",0,0,"NGA_25320",NA,NA,NA,NA,NA
"Akwa-Ibom (Uyo)",2005,TRUE,300,"ancss","15-49","15","35",0,0,0,0,"NGA_25320",0,0,"NGA_25320",NA,NA,NA,NA,NA
"Akwa-Ibom  (Iquita)",2008,TRUE,150,"ancss","15-49","15","35",0,0,0,0,"NGA_25320",0,0,"NGA_25320",NA,NA,NA,NA,NA
"Akwa-Ibom (Essien-Udim)",2008,TRUE,293,"ancss","15-49","15","35",0,0,0,0,"NGA_25320",0,0,"NGA_25320",NA,NA,NA,NA,NA
"Akwa-Ibom (Ikono)",2008,TRUE,150,"ancss","15-49","15","35",0,0,0,0,"NGA_25320",0,0,"NGA_25320",NA,NA,NA,NA,NA
"Akwa-Ibom (Uyo)",2008,TRUE,298,"ancss","15-49","15","35",0,0,0,0,"NGA_25320",0,0,"NGA_25320",NA,NA,NA,NA,NA
"Akwa-Ibom  (Iquita)",2010,TRUE,170,"ancss","15-49","15","35",0,0,0,0,"NGA_25320",0,0,"NGA_25320",NA,NA,NA,NA,NA
"Akwa-Ibom (Essien-Udim)",2010,TRUE,301,"ancss","15-49","15","35",0,0,0,0,"NGA_25320",0,0,"NGA_25320",NA,NA,NA,NA,NA
"Akwa-Ibom (Ikono)",2010,TRUE,154,"ancss","15-49","15","35",0,0,0,0,"NGA_25320",0,0,"NGA_25320",NA,NA,NA,NA,NA
"Akwa-Ibom (Uyo)",2010,TRUE,300,"ancss","15-49","15","35",0,0,0,0,"NGA_25320",0,0,"NGA_25320",NA,NA,NA,NA,NA
"Akwa-Ibom  (Iquita)",2014,TRUE,300,"ancss","15-49","15","35",0,0,0,0,"NGA_25320",0,0,"NGA_25320",NA,NA,NA,NA,NA
"Akwa-Ibom (Essien-Udim)",2014,TRUE,300,"ancss","15-49","15","35",0,0,0,0,"NGA_25320",0,0,"NGA_25320",NA,NA,NA,NA,NA
"Akwa-Ibom (Ikono)",2014,TRUE,150,"ancss","15-49","15","35",0,0,0,0,"NGA_25320",0,0,"NGA_25320",NA,NA,NA,NA,NA
"Akwa-Ibom (Uyo)",2014,TRUE,310,"ancss","15-49","15","35",0,0,0,0,"NGA_25320",0,0,"NGA_25320",NA,NA,NA,NA,NA
