"clinic","year_id","used","n","type","agegr","age","agspan","site_pred","adm0_mean","adm0_lower","adm0_upper","ihme_loc_id","lbd_areal","lbd_missing","iso3","adm1_mean","adm1_lower","adm1_upper","iso3_adm1","loc_id_adm1"
"FP_Gadarif",2004,TRUE,400,"ancss","15-49","15","35",0,0,0,0,"SDN",0,0,"SDN",NA,NA,NA,NA,NA
"Taiba HC_Khartoum",2004,TRUE,400,"ancss","15-49","15","35",0,0,0,0,"SDN",0,0,"SDN",NA,NA,NA,NA,NA
"Nihood_N Kordofan",2005,TRUE,217,"ancss","15-49","15","35",0,0,0,0,"SDN",0,0,"SDN",NA,NA,NA,NA,NA
"Rakha_Khartoum",2005,TRUE,400,"ancss","15-49","15","35",0,0,0,0,"SDN",0,0,"SDN",NA,NA,NA,NA,NA
"Sat_Khartoum",2005,TRUE,400,"ancss","15-49","15","35",0,0,0,0,"SDN",0,0,"SDN",NA,NA,NA,NA,NA
"Taiba HC_Khartoum",2005,TRUE,400,"ancss","15-49","15","35",0,0,0,0,"SDN",0,0,"SDN",NA,NA,NA,NA,NA
"Yahia Hussein_Kassala",2005,TRUE,400,"ancss","15-49","15","35",0,0,0,0,"SDN",0,0,"SDN",NA,NA,NA,NA,NA
"Abrar_White Nile",2007,TRUE,225,"ancss","15-49","15","35",0,0,0,0,"SDN",0,0,"SDN",NA,NA,NA,NA,NA
"Banat_Gezira",2007,TRUE,514,"ancss","15-49","15","35",0,0,0,0,"SDN",0,0,"SDN",NA,NA,NA,NA,NA
"FP_Gadarif",2007,TRUE,799,"ancss","15-49","15","35",0,0,0,0,"SDN",0,0,"SDN",NA,NA,NA,NA,NA
"Family planning_N Kordofan",2007,TRUE,566,"ancss","15-49","15","35",0,0,0,0,"SDN",0,0,"SDN",NA,NA,NA,NA,NA
"Girba_Kilo26_Kassala",2007,TRUE,290,"ancss","15-49","15","35",0,0,0,0,"SDN",0,0,"SDN",NA,NA,NA,NA,NA
"H insurance_W Darfur",2007,TRUE,164,"ancss","15-49","15","35",0,0,0,0,"SDN",0,0,"SDN",NA,NA,NA,NA,NA
"Haj Nour HC_Northern",2007,TRUE,328,"ancss","15-49","15","35",0,0,0,0,"SDN",0,0,"SDN",NA,NA,NA,NA,NA
"IDP_1_W Darfur",2007,TRUE,345,"ancss","15-49","15","35",0,0,0,0,"SDN",0,0,"SDN",NA,NA,NA,NA,NA
"IDP_2_W Darfur",2007,TRUE,400,"ancss","15-49","15","35",0,0,0,0,"SDN",0,0,"SDN",NA,NA,NA,NA,NA
"Jabalain_White Nile",2007,TRUE,307,"ancss","15-49","15","35",0,0,0,0,"SDN",0,0,"SDN",NA,NA,NA,NA,NA
"Midwifery_S Kordofan",2007,TRUE,494,"ancss","15-49","15","35",0,0,0,0,"SDN",0,0,"SDN",NA,NA,NA,NA,NA
"Najlaa_S Kordofan",2007,TRUE,398,"ancss","15-49","15","35",0,0,0,0,"SDN",0,0,"SDN",NA,NA,NA,NA,NA
"Nihood_N Kordofan",2007,TRUE,359,"ancss","15-49","15","35",0,0,0,0,"SDN",0,0,"SDN",NA,NA,NA,NA,NA
"Rakha_Khartoum",2007,TRUE,431,"ancss","15-49","15","35",0,0,0,0,"SDN",0,0,"SDN",NA,NA,NA,NA,NA
"Sat_Khartoum",2007,TRUE,389,"ancss","15-49","15","35",0,0,0,0,"SDN",0,0,"SDN",NA,NA,NA,NA,NA
"Saudi_N Darfur",2007,TRUE,218,"ancss","15-49","15","35",0,0,0,0,"SDN",0,0,"SDN",NA,NA,NA,NA,NA
"Shagarab_Kassala",2007,TRUE,253,"ancss","15-49","15","35",0,0,0,0,"SDN",0,0,"SDN",NA,NA,NA,NA,NA
"Shimal_Blue Nile",2007,TRUE,90,"ancss","15-49","15","35",0,0,0,0,"SDN",0,0,"SDN",NA,NA,NA,NA,NA
"Shohada_River Nile",2007,TRUE,360,"ancss","15-49","15","35",0,0,0,0,"SDN",0,0,"SDN",NA,NA,NA,NA,NA
"Soki_Sinnar",2007,TRUE,390,"ancss","15-49","15","35",0,0,0,0,"SDN",0,0,"SDN",NA,NA,NA,NA,NA
"Taiba HC_Khartoum",2007,TRUE,455,"ancss","15-49","15","35",0,0,0,0,"SDN",0,0,"SDN",NA,NA,NA,NA,NA
"Thawra_Red Sea",2007,TRUE,24,"ancss","15-49","15","35",0,0,0,0,"SDN",0,0,"SDN",NA,NA,NA,NA,NA
"Wad Hadad_Gezira",2007,TRUE,368,"ancss","15-49","15","35",0,0,0,0,"SDN",0,0,"SDN",NA,NA,NA,NA,NA
"Wad sharifie_Kassala",2007,TRUE,219,"ancss","15-49","15","35",0,0,0,0,"SDN",0,0,"SDN",NA,NA,NA,NA,NA
"Yahia Hussein_Kassala",2007,TRUE,400,"ancss","15-49","15","35",0,0,0,0,"SDN",0,0,"SDN",NA,NA,NA,NA,NA
"Abrar_White Nile",2009,TRUE,329,"ancss","15-49","15","35",0,0,0,0,"SDN",0,0,"SDN",NA,NA,NA,NA,NA
"Agadi_Blue Nile",2009,TRUE,243,"ancss","15-49","15","35",0,0,0,0,"SDN",0,0,"SDN",NA,NA,NA,NA,NA
"Banat_Gezira",2009,TRUE,405,"ancss","15-49","15","35",0,0,0,0,"SDN",0,0,"SDN",NA,NA,NA,NA,NA
"Barbar_River Nile",2009,TRUE,385,"ancss","15-49","15","35",0,0,0,0,"SDN",0,0,"SDN",NA,NA,NA,NA,NA
"Dabah_Northern",2009,TRUE,402,"ancss","15-49","15","35",0,0,0,0,"SDN",0,0,"SDN",NA,NA,NA,NA,NA
"Doka_Gadarif",2009,TRUE,252,"ancss","15-49","15","35",0,0,0,0,"SDN",0,0,"SDN",NA,NA,NA,NA,NA
"FP_Gadarif",2009,TRUE,174,"ancss","15-49","15","35",0,0,0,0,"SDN",0,0,"SDN",NA,NA,NA,NA,NA
"Family planning_N Kordofan",2009,TRUE,357,"ancss","15-49","15","35",0,0,0,0,"SDN",0,0,"SDN",NA,NA,NA,NA,NA
"Girba_Kassala",2009,TRUE,245,"ancss","15-49","15","35",0,0,0,0,"SDN",0,0,"SDN",NA,NA,NA,NA,NA
"Girba_Kilo26_Kassala",2009,TRUE,390,"ancss","15-49","15","35",0,0,0,0,"SDN",0,0,"SDN",NA,NA,NA,NA,NA
"H insurance_W Darfur",2009,TRUE,291,"ancss","15-49","15","35",0,0,0,0,"SDN",0,0,"SDN",NA,NA,NA,NA,NA
"Haj Nour HC_Northern",2009,TRUE,440,"ancss","15-49","15","35",0,0,0,0,"SDN",0,0,"SDN",NA,NA,NA,NA,NA
"Jabalain_White Nile",2009,TRUE,300,"ancss","15-49","15","35",0,0,0,0,"SDN",0,0,"SDN",NA,NA,NA,NA,NA
"Midwifery_S Kordofan",2009,TRUE,396,"ancss","15-49","15","35",0,0,0,0,"SDN",0,0,"SDN",NA,NA,NA,NA,NA
"Muglad_S Kordofan",2009,TRUE,408,"ancss","15-49","15","35",0,0,0,0,"SDN",0,0,"SDN",NA,NA,NA,NA,NA
"Musalamia_Gezira",2009,TRUE,412,"ancss","15-49","15","35",0,0,0,0,"SDN",0,0,"SDN",NA,NA,NA,NA,NA
"Najlaa_S Kordofan",2009,TRUE,398,"ancss","15-49","15","35",0,0,0,0,"SDN",0,0,"SDN",NA,NA,NA,NA,NA
"Nihood_N Kordofan",2009,TRUE,451,"ancss","15-49","15","35",0,0,0,0,"SDN",0,0,"SDN",NA,NA,NA,NA,NA
"Rakha_Khartoum",2009,TRUE,400,"ancss","15-49","15","35",0,0,0,0,"SDN",0,0,"SDN",NA,NA,NA,NA,NA
"Sat_Khartoum",2009,TRUE,401,"ancss","15-49","15","35",0,0,0,0,"SDN",0,0,"SDN",NA,NA,NA,NA,NA
"Saudi_N Darfur",2009,TRUE,397,"ancss","15-49","15","35",0,0,0,0,"SDN",0,0,"SDN",NA,NA,NA,NA,NA
"Shagarab_Kassala",2009,TRUE,390,"ancss","15-49","15","35",0,0,0,0,"SDN",0,0,"SDN",NA,NA,NA,NA,NA
"Shimal_Blue Nile",2009,TRUE,383,"ancss","15-49","15","35",0,0,0,0,"SDN",0,0,"SDN",NA,NA,NA,NA,NA
"Shohada_River Nile",2009,TRUE,202,"ancss","15-49","15","35",0,0,0,0,"SDN",0,0,"SDN",NA,NA,NA,NA,NA
"Sinkat_Red Sea",2009,TRUE,174,"ancss","15-49","15","35",0,0,0,0,"SDN",0,0,"SDN",NA,NA,NA,NA,NA
"Sinnar_Sinnar",2009,TRUE,401,"ancss","15-49","15","35",0,0,0,0,"SDN",0,0,"SDN",NA,NA,NA,NA,NA
"Soki_Sinnar",2009,TRUE,401,"ancss","15-49","15","35",0,0,0,0,"SDN",0,0,"SDN",NA,NA,NA,NA,NA
"Taiba HC_Khartoum",2009,TRUE,402,"ancss","15-49","15","35",0,0,0,0,"SDN",0,0,"SDN",NA,NA,NA,NA,NA
"Thawra_Red Sea",2009,TRUE,215,"ancss","15-49","15","35",0,0,0,0,"SDN",0,0,"SDN",NA,NA,NA,NA,NA
"Togaba_White Nile",2009,TRUE,299,"ancss","15-49","15","35",0,0,0,0,"SDN",0,0,"SDN",NA,NA,NA,NA,NA
"Umrowaba_N Kordofan",2009,TRUE,200,"ancss","15-49","15","35",0,0,0,0,"SDN",0,0,"SDN",NA,NA,NA,NA,NA
"Wad Hadad_Gezira",2009,TRUE,348,"ancss","15-49","15","35",0,0,0,0,"SDN",0,0,"SDN",NA,NA,NA,NA,NA
"Wad sharifie_Kassala",2009,TRUE,343,"ancss","15-49","15","35",0,0,0,0,"SDN",0,0,"SDN",NA,NA,NA,NA,NA
"Waha_S Darfur",2009,TRUE,399,"ancss","15-49","15","35",0,0,0,0,"SDN",0,0,"SDN",NA,NA,NA,NA,NA
"Yahia Hussein_Kassala",2009,TRUE,398,"ancss","15-49","15","35",0,0,0,0,"SDN",0,0,"SDN",NA,NA,NA,NA,NA
"Abrar_White Nile",2010,TRUE,379,"ancss","15-49","15","35",0,0,0,0,"SDN",0,0,"SDN",NA,NA,NA,NA,NA
