"clinic","year_id","used","mean","n","type","agegr","age","agspan","ihme_loc_id","lbd_areal","lbd_missing","iso3","site_pred","adm0_mean","adm0_lower","adm0_upper","adm1_mean","adm1_lower","adm1_upper","iso3_adm1","loc_id_adm1"
"DAKAR",1989,TRUE,0.005,175,"ancss","15-49","15","35","SEN",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DAKAR",1990,TRUE,0.021,182,"ancss","15-49","15","35","SEN",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DAKAR",1991,TRUE,0.013,379,"ancss","15-49","15","35","SEN",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DAKAR",1992,TRUE,0.002,404,"ancss","15-49","15","35","SEN",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DAKAR",1993,TRUE,0,300,"ancss","15-49","15","35","SEN",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DAKAR",1994,TRUE,0.005,255,"ancss","15-49","15","35","SEN",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DAKAR",1995,TRUE,0.013,318,"ancss","15-49","15","35","SEN",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DAKAR",1996,TRUE,0.003,377,"ancss","15-49","15","35","SEN",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DAKAR",1997,TRUE,0.0043,233,"ancss","15-49","15","35","SEN",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DAKAR",1998,TRUE,0.021,183,"ancss","15-49","15","35","SEN",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FATICK",1998,TRUE,0.014,774,"ancss","15-49","15","35","SEN",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FATICK",1999,TRUE,0.009,753,"ancss","15-49","15","35","SEN",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"KAOLACK",1989,TRUE,0.005,187,"ancss","15-49","15","35","SEN",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"KAOLACK",1990,TRUE,0.02,496,"ancss","15-49","15","35","SEN",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"KAOLACK",1991,TRUE,0.017,240,"ancss","15-49","15","35","SEN",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"KAOLACK",1992,TRUE,0,300,"ancss","15-49","15","35","SEN",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"KAOLACK",1993,TRUE,0.023,131,"ancss","15-49","15","35","SEN",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"KAOLACK",1994,TRUE,0.0145,359,"ancss","15-49","15","35","SEN",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"KAOLACK",1995,TRUE,0.001,650,"ancss","15-49","15","35","SEN",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"KAOLACK",1996,TRUE,0.0045,1497,"ancss","15-49","15","35","SEN",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"KAOLACK",1997,TRUE,0.013,1418,"ancss","15-49","15","35","SEN",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"KAOLACK",1998,TRUE,0.012,978,"ancss","15-49","15","35","SEN",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"KAOLACK",1999,TRUE,0.022,404,"ancss","15-49","15","35","SEN",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LOUGA",1998,TRUE,0.004,269,"ancss","15-49","15","35","SEN",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LOUGA",1999,TRUE,0.009,566,"ancss","15-49","15","35","SEN",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MBOUR",1994,TRUE,0.016,393,"ancss","15-49","15","35","SEN",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MBOUR",1996,TRUE,0.006,161,"ancss","15-49","15","35","SEN",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MBOUR",1995,TRUE,0.027,115,"ancss","15-49","15","35","SEN",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SAINT LOUIS",1991,TRUE,0.002,501,"ancss","15-49","15","35","SEN",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SAINT LOUIS",1998,TRUE,0.002,477,"ancss","15-49","15","35","SEN",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SAINT LOUIS",1999,TRUE,0.003,1369,"ancss","15-49","15","35","SEN",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SAINT LOUIS",1990,TRUE,0.002,603,"ancss","15-49","15","35","SEN",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"THIES",1999,TRUE,0.009,226,"ancss","15-49","15","35","SEN",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"THIES",1998,TRUE,0.005,189,"ancss","15-49","15","35","SEN",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"THIES",1997,TRUE,0.003,1085,"ancss","15-49","15","35","SEN",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"THIES",1994,TRUE,0.006,313,"ancss","15-49","15","35","SEN",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"THIES",1996,TRUE,0,687,"ancss","15-49","15","35","SEN",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ZIGUINCHOR",1990,TRUE,0.02,825,"ancss","15-49","15","35","SEN",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ZIGUINCHOR",1991,TRUE,0.01,954,"ancss","15-49","15","35","SEN",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ZIGUINCHOR",1992,TRUE,0.017,792,"ancss","15-49","15","35","SEN",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ZIGUINCHOR",1994,TRUE,0.016,731,"ancss","15-49","15","35","SEN",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ZIGUINCHOR",1995,TRUE,0,449,"ancss","15-49","15","35","SEN",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ZIGUINCHOR",1996,TRUE,0.008,846,"ancss","15-49","15","35","SEN",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ZIGUINCHOR",1993,TRUE,0.0265,730,"ancss","15-49","15","35","SEN",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ZIGUINCHOR",1989,TRUE,0.027,188,"ancss","15-49","15","35","SEN",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ZIGUINCHOR",1997,TRUE,0.0243,903,"ancss","15-49","15","35","SEN",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ZIGUINCHOR",1998,TRUE,0.018,642,"ancss","15-49","15","35","SEN",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ZIGUINCHOR",1999,TRUE,0.012,736,"ancss","15-49","15","35","SEN",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FATICK",2000,TRUE,0,303,"ancss","15-49","15","35","SEN",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"KAOLACK",2000,TRUE,0.012,601,"ancss","15-49","15","35","SEN",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LOUGA",2000,TRUE,0.007,273,"ancss","15-49","15","35","SEN",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SAINT LOUIS",2000,TRUE,0.002,470,"ancss","15-49","15","35","SEN",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"THIES",2000,TRUE,0.015,472,"ancss","15-49","15","35","SEN",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ZIGUINCHOR",2000,TRUE,0.018,540,"ancss","15-49","15","35","SEN",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DAKAR",2001,TRUE,0.007,788,"ancss","15-49","15","35","SEN",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"KAOLACK",2001,TRUE,0.011,622,"ancss","15-49","15","35","SEN",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
