"clinic","year_id","used","n","type","agegr","age","agspan","site_pred","adm0_mean","adm0_lower","adm0_upper","ihme_loc_id","lbd_areal","lbd_missing","iso3","adm1_mean","adm1_lower","adm1_upper","iso3_adm1","loc_id_adm1"
"Boroma Central MCH",1999,TRUE,243,"ancss","15-49","15","35",NA,NA,NA,NA,"SOM",0,0,"SOM",NA,NA,NA,NA,NA
"Hargeisa Central MCH",1999,TRUE,297,"ancss","15-49","15","35",NA,NA,NA,NA,"SOM",0,0,"SOM",NA,NA,NA,NA,NA
"Las Anod central MCH (Sool)",1999,TRUE,229,"ancss","15-49","15","35",NA,NA,NA,NA,"SOM",0,0,"SOM",NA,NA,NA,NA,NA
"NULL",1997,TRUE,300,"ancss","15-49","15","35",NA,NA,NA,NA,"SOM",0,0,"SOM",NA,NA,NA,NA,NA
"Site 2 Mogadisho",1985,TRUE,71,"ancss","15-49","15","35",NA,NA,NA,NA,"SOM",0,0,"SOM",NA,NA,NA,NA,NA
"Site 2 Mogadisho",1986,TRUE,85,"ancss","15-49","15","35",NA,NA,NA,NA,"SOM",0,0,"SOM",NA,NA,NA,NA,NA
"Site 2 Mogadisho",1987,TRUE,287,"ancss","15-49","15","35",NA,NA,NA,NA,"SOM",0,0,"SOM",NA,NA,NA,NA,NA
"Site 3  Merka Kismayo",1991,TRUE,300,"ancss","15-49","15","35",NA,NA,NA,NA,"SOM",0,0,"SOM",NA,NA,NA,NA,NA
"BERBERA central MCH",2004,TRUE,350,"ancss","15-49","15","35",0,0,0,0,"SOM",0,0,"SOM",NA,NA,NA,NA,NA
"Boroma Central MCH",2004,TRUE,362,"ancss","15-49","15","35",0,0,0,0,"SOM",0,0,"SOM",NA,NA,NA,NA,NA
"Burao  Central MCH",2004,TRUE,350,"ancss","15-49","15","35",0,0,0,0,"SOM",0,0,"SOM",NA,NA,NA,NA,NA
"Galkayo central MCH",2004,TRUE,289,"ancss","15-49","15","35",0,0,0,0,"SOM",0,0,"SOM",NA,NA,NA,NA,NA
"Garowe Central MCH",2004,TRUE,284,"ancss","15-49","15","35",0,0,0,0,"SOM",0,0,"SOM",NA,NA,NA,NA,NA
"HANNANO (MOGADISHU 1)",2004,TRUE,511,"ancss","15-49","15","35",0,0,0,0,"SOM",0,0,"SOM",NA,NA,NA,NA,NA
"HAYAT (MOGADISHU 2)",2004,TRUE,301,"ancss","15-49","15","35",0,0,0,0,"SOM",0,0,"SOM",NA,NA,NA,NA,NA
"Hargeisa Central MCH",2004,TRUE,499,"ancss","15-49","15","35",0,0,0,0,"SOM",0,0,"SOM",NA,NA,NA,NA,NA
"Jowhar MCH",2004,TRUE,351,"ancss","15-49","15","35",0,0,0,0,"SOM",0,0,"SOM",NA,NA,NA,NA,NA
"MERKA MCH",2004,TRUE,350,"ancss","15-49","15","35",0,0,0,0,"SOM",0,0,"SOM",NA,NA,NA,NA,NA
"NULL",2004,TRUE,324,"ancss","15-49","15","35",0,0,0,0,"SOM",0,0,"SOM",NA,NA,NA,NA,NA
"SOS Hospital Heliwa (MOGADISHU 3)",2004,TRUE,351,"ancss","15-49","15","35",0,0,0,0,"SOM",0,0,"SOM",NA,NA,NA,NA,NA
"BERBERA central MCH",2007,TRUE,222,"ancss","15-49","15","35",0,0,0,0,"SOM",0,0,"SOM",NA,NA,NA,NA,NA
"Boroma Central MCH",2007,TRUE,358,"ancss","15-49","15","35",0,0,0,0,"SOM",0,0,"SOM",NA,NA,NA,NA,NA
"Bosaso IDP (BELDAJE) MCH",2007,TRUE,276,"ancss","15-49","15","35",0,0,0,0,"SOM",0,0,"SOM",NA,NA,NA,NA,NA
"Burao  Central MCH",2007,TRUE,235,"ancss","15-49","15","35",0,0,0,0,"SOM",0,0,"SOM",NA,NA,NA,NA,NA
"Daami IDP camp (Dami B)",2007,TRUE,450,"ancss","15-49","15","35",0,0,0,0,"SOM",0,0,"SOM",NA,NA,NA,NA,NA
"Galkayo central MCH",2007,TRUE,350,"ancss","15-49","15","35",0,0,0,0,"SOM",0,0,"SOM",NA,NA,NA,NA,NA
"Garowe Central MCH",2007,TRUE,345,"ancss","15-49","15","35",0,0,0,0,"SOM",0,0,"SOM",NA,NA,NA,NA,NA
"Hargeisa Central MCH",2007,TRUE,499,"ancss","15-49","15","35",0,0,0,0,"SOM",0,0,"SOM",NA,NA,NA,NA,NA
"Las Anod central MCH (Sool)",2007,TRUE,348,"ancss","15-49","15","35",0,0,0,0,"SOM",0,0,"SOM",NA,NA,NA,NA,NA
